run_number,root_file,tdaq_start_local,tdaq_end_local,tdaq_elapsed_s,tdaq_entries,scaler_branch,scaler_wraps,status,match_quality,timepix_measurement_range,timepix_count,timepix_start_local,timepix_end_local,overlap_measurement_range,overlap_count,nearest_only_count
1781543306,/Users/berare/BL4S/TDAQ_stateofArt/1781543306.root,2026-06-15T19:08:26+02:00,2026-06-15T19:08:28+02:00,2.447440,14857,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781543588,/Users/berare/BL4S/TDAQ_stateofArt/1781543588.root,2026-06-15T19:13:08+02:00,2026-06-15T19:13:11+02:00,3.373020,20852,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781544022,/Users/berare/BL4S/TDAQ_stateofArt/1781544022.root,2026-06-15T19:20:22+02:00,2026-06-15T19:20:30+02:00,8.676180,48797,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781545085,/Users/berare/BL4S/TDAQ_stateofArt/1781545085.root,2026-06-15T19:38:05+02:00,2026-06-15T19:38:12+02:00,7.836590,35207,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781547082,/Users/berare/BL4S/TDAQ_stateofArt/1781547082.root,2026-06-15T20:11:22+02:00,2026-06-15T20:11:23+02:00,1.981060,11658,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781547327,/Users/berare/BL4S/TDAQ_stateofArt/1781547327.root,2026-06-15T20:15:27+02:00,2026-06-15T20:15:27+02:00,0.975521,6861,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781547455,/Users/berare/BL4S/TDAQ_stateofArt/1781547455.root,2026-06-15T20:17:35+02:00,2026-06-15T20:17:40+02:00,5.016460,30426,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781548046,/Users/berare/BL4S/TDAQ_stateofArt/1781548046.root,2026-06-15T20:27:26+02:00,2026-06-15T20:27:31+02:00,5.869430,31422,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781548839,/Users/berare/BL4S/TDAQ_stateofArt/1781548839.root,2026-06-15T20:40:39+02:00,2026-06-15T20:40:44+02:00,5.124780,8715,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781549508,/Users/berare/BL4S/TDAQ_stateofArt/1781549508.root,2026-06-15T20:51:48+02:00,2026-06-15T20:51:52+02:00,4.603950,18271,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781550226,/Users/berare/BL4S/TDAQ_stateofArt/1781550226.root,2026-06-15T21:03:46+02:00,2026-06-15T21:03:46+02:00,0.482647,3933,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781550283,/Users/berare/BL4S/TDAQ_stateofArt/1781550283.root,2026-06-15T21:04:43+02:00,2026-06-15T21:04:43+02:00,0.636973,4844,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781550418,/Users/berare/BL4S/TDAQ_stateofArt/1781550418.root,2026-06-15T21:06:58+02:00,2026-06-15T21:06:59+02:00,1.893680,15556,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781550705,/Users/berare/BL4S/TDAQ_stateofArt/1781550705.root,2026-06-15T21:11:45+02:00,2026-06-15T21:11:46+02:00,1.617030,3871,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781550910,/Users/berare/BL4S/TDAQ_stateofArt/1781550910.root,2026-06-15T21:15:10+02:00,2026-06-15T21:15:11+02:00,1.350640,2866,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781551079,/Users/berare/BL4S/TDAQ_stateofArt/1781551079.root,2026-06-15T21:17:59+02:00,2026-06-15T21:17:59+02:00,0.000000,0,,0,open_failed,no_timepix_match,,0,,,,0,0
1781553790,/Users/berare/BL4S/TDAQ_stateofArt/1781553790.root,2026-06-15T22:03:10+02:00,2026-06-15T22:03:15+02:00,5.692630,40155,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781554433,/Users/berare/BL4S/TDAQ_stateofArt/1781554433.root,2026-06-15T22:13:53+02:00,2026-06-15T22:13:55+02:00,2.261140,15858,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781554784,/Users/berare/BL4S/TDAQ_stateofArt/1781554784.root,2026-06-15T22:19:44+02:00,2026-06-15T22:19:50+02:00,6.628470,17747,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781555836,/Users/berare/BL4S/TDAQ_stateofArt/1781555836.root,2026-06-15T22:37:16+02:00,2026-06-15T22:37:16+02:00,0.759607,5760,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781557615,/Users/berare/BL4S/TDAQ_stateofArt/1781557615.root,2026-06-15T23:06:55+02:00,2026-06-15T23:07:08+02:00,13.438700,10554,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781561330,/Users/berare/BL4S/TDAQ_stateofArt/1781561330.root,2026-06-16T00:08:50+02:00,2026-06-16T00:08:54+02:00,4.762630,26242,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781561931,/Users/berare/BL4S/TDAQ_stateofArt/1781561931.root,2026-06-16T00:18:51+02:00,2026-06-16T00:18:54+02:00,3.642680,20193,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781562398,/Users/berare/BL4S/TDAQ_stateofArt/1781562398.root,2026-06-16T00:26:38+02:00,2026-06-16T01:38:18+02:00,4300.130000,22036,Scaler0_ch15,1,ok,no_timepix_match,,0,,,,0,0
1781563181,/Users/berare/BL4S/TDAQ_stateofArt/1781563181.root,2026-06-16T00:39:41+02:00,2026-06-16T00:39:41+02:00,0.653175,4787,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781563676,/Users/berare/BL4S/TDAQ_stateofArt/1781563676.root,2026-06-16T00:47:56+02:00,2026-06-16T00:48:01+02:00,5.701260,24450,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781564318,/Users/berare/BL4S/TDAQ_stateofArt/1781564318.root,2026-06-16T00:58:38+02:00,2026-06-16T00:58:41+02:00,3.058030,20817,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781564667,/Users/berare/BL4S/TDAQ_stateofArt/1781564667.root,2026-06-16T01:04:27+02:00,2026-06-16T01:04:40+02:00,13.842500,40296,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781566618,/Users/berare/BL4S/TDAQ_stateofArt/1781566618.root,2026-06-16T01:36:58+02:00,2026-06-16T01:37:04+02:00,6.719610,15844,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781567426,/Users/berare/BL4S/TDAQ_stateofArt/1781567426.root,2026-06-16T01:50:26+02:00,2026-06-16T01:50:30+02:00,4.573760,15883,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
